stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000290341,9606.ENSP00000418823,IGF2BP1,FTO,9606,0.72,0,0.0,0.0,0.042,0.0,0.0,0.72
9606.ENSP00000290341,9606.ENSP00000410242,IGF2BP1,IGF2BP2,9606,0.829,0,0.0,0.053,0.195,0.679,0.0,0.386
9606.ENSP00000290341,9606.ENSP00000437621,IGF2BP1,HMGA2,9606,0.84,0,0.0,0.0,0.23,0.0,0.0,0.8
9606.ENSP00000290341,9606.ENSP00000391826,IGF2BP1,IGF2,9606,0.992,0,0.0,0.0,0.086,0.0,0.0,0.992
9606.ENSP00000290921,9606.ENSP00000371133,CTBP1,HMG20A,9606,0.703,0,0.0,0.0,0.067,0.0,0.0,0.695
9606.ENSP00000290921,9606.ENSP00000379065,CTBP1,TRPS1,9606,0.748,0,0.0,0.0,0.0,0.715,0.0,0.152
9606.ENSP00000290921,9606.ENSP00000369270,CTBP1,RREB1,9606,0.853,0,0.0,0.0,0.049,0.638,0.0,0.608
9606.ENSP00000290921,9606.ENSP00000312987,CTBP1,HNF4A,9606,0.936,0,0.0,0.0,0.0,0.0,0.0,0.936
9606.ENSP00000290921,9606.ENSP00000486891,CTBP1,TCF7L2,9606,0.977,0,0.0,0.0,0.05,0.51,0.9,0.571
9606.ENSP00000295900,9606.ENSP00000446576,ATXN7,ATXN2,9606,0.913,0,0.0,0.0,0.059,0.0,0.0,0.912
9606.ENSP00000301455,9606.ENSP00000497642,ANGPTL4,LPL,9606,0.994,0,0.0,0.0,0.049,0.236,0.9,0.93
9606.ENSP00000312987,9606.ENSP00000355925,HNF4A,PROX1,9606,0.777,0,0.0,0.0,0.067,0.364,0.0,0.655
9606.ENSP00000312987,9606.ENSP00000480291,HNF4A,HNF1B,9606,0.851,0,0.0,0.0,0.24,0.085,0.0,0.804
9606.ENSP00000312987,9606.ENSP00000486891,HNF4A,TCF7L2,9606,0.928,0,0.0,0.0,0.0,0.256,0.0,0.908
9606.ENSP00000312987,9606.ENSP00000438804,HNF4A,HNF1A,9606,0.988,0,0.0,0.0,0.323,0.085,0.75,0.934
9606.ENSP00000323568,9606.ENSP00000415011,SLC2A2,SLC30A8,9606,0.714,0,0.002,0.0,0.062,0.0,0.0,0.707
9606.ENSP00000323568,9606.ENSP00000368014,SLC2A2,PAX4,9606,0.803,0,0.0,0.0,0.043,0.0,0.0,0.803
9606.ENSP00000323568,9606.ENSP00000494321,SLC2A2,ABCC8,9606,0.809,0,0.0,0.0,0.057,0.066,0.0,0.801
9606.ENSP00000323568,9606.ENSP00000345708,SLC2A2,KCNJ11,9606,0.815,0,0.0,0.0,0.049,0.0,0.0,0.814
9606.ENSP00000323568,9606.ENSP00000438804,SLC2A2,HNF1A,9606,0.954,0,0.0,0.0,0.238,0.0,0.75,0.778
9606.ENSP00000338777,9606.ENSP00000350075,AP3S2,ARPIN,9606,0.873,0,0.804,0.0,0.056,0.0,0.0,0.37
9606.ENSP00000345492,9606.ENSP00000446576,SH2B3,ATXN2,9606,0.765,0,0.0,0.0,0.0,0.0,0.0,0.765
9606.ENSP00000345708,9606.ENSP00000418823,KCNJ11,FTO,9606,0.725,0,0.0,0.0,0.0,0.0,0.0,0.725
9606.ENSP00000345708,9606.ENSP00000410242,KCNJ11,IGF2BP2,9606,0.78,0,0.0,0.0,0.0,0.0,0.0,0.78
9606.ENSP00000345708,9606.ENSP00000438804,KCNJ11,HNF1A,9606,0.829,0,0.0,0.0,0.043,0.0,0.0,0.829
9606.ENSP00000345708,9606.ENSP00000486891,KCNJ11,TCF7L2,9606,0.839,0,0.0,0.0,0.0,0.0,0.0,0.839
9606.ENSP00000345708,9606.ENSP00000415011,KCNJ11,SLC30A8,9606,0.84,0,0.0,0.0,0.044,0.0,0.0,0.839
9606.ENSP00000345708,9606.ENSP00000494321,KCNJ11,ABCC8,9606,0.999,0,0.036,0.0,0.227,0.992,0.72,0.999
9606.ENSP00000348753,9606.ENSP00000351015,SPRED2,NF1,9606,0.884,0,0.0,0.0,0.049,0.493,0.4,0.647
9606.ENSP00000350075,9606.ENSP00000381377,ARPIN,ARPIN-AP3S2,9606,0.8,0,0.0,0.0,0.0,0.8,0.0,0.045
9606.ENSP00000350075,9606.ENSP00000360689,ARPIN,TNKS2,9606,0.978,0,0.0,0.0,0.055,0.958,0.0,0.499
9606.ENSP00000351015,9606.ENSP00000418915,NF1,CDKN2A,9606,0.772,0,0.0,0.0,0.042,0.043,0.0,0.771
9606.ENSP00000360689,9606.ENSP00000381377,TNKS2,ARPIN-AP3S2,9606,0.948,0,0.0,0.0,0.055,0.9,0.0,0.497
9606.ENSP00000361949,9606.ENSP00000446576,PABPC4,ATXN2,9606,0.898,0,0.0,0.0,0.106,0.802,0.0,0.467
9606.ENSP00000362353,9606.ENSP00000467494,GLP1R,GIPR,9606,0.743,0,0.0,0.063,0.059,0.0,0.4,0.572
9606.ENSP00000362353,9606.ENSP00000486891,GLP1R,TCF7L2,9606,0.752,0,0.0,0.0,0.0,0.0,0.0,0.752
9606.ENSP00000368014,9606.ENSP00000480291,PAX4,HNF1B,9606,0.709,0,0.0,0.0,0.055,0.0,0.0,0.705
9606.ENSP00000368014,9606.ENSP00000494321,PAX4,ABCC8,9606,0.766,0,0.0,0.0,0.045,0.0,0.0,0.765
9606.ENSP00000368014,9606.ENSP00000438804,PAX4,HNF1A,9606,0.891,0,0.0,0.0,0.074,0.0,0.0,0.888
9606.ENSP00000376436,9606.ENSP00000418915,ETS1,CDKN2A,9606,0.786,0,0.0,0.0,0.049,0.048,0.5,0.585
9606.ENSP00000378877,9606.ENSP00000385780,AGPAT1,DGKB,9606,0.724,0,0.0,0.0,0.0,0.0,0.65,0.246
9606.ENSP00000378877,9606.ENSP00000482264,AGPAT1,DGAT1,9606,0.809,0,0.0,0.0,0.073,0.0,0.0,0.802
