drug,n_targets_in_network,n_hub_targets,sum_centrality,mean_centrality,max_centrality,mean_degree,mean_betweenness,mean_closeness,mean_interaction_score,n_communities_hit,max_module_coverage,mean_module_coverage,n_targets_in_network_norm,n_hub_targets_norm,sum_centrality_norm,mean_centrality_norm,n_communities_hit_norm,max_module_coverage_norm,mean_module_coverage_norm,mean_interaction_score_norm,hub_component,centrality_component,module_component,evidence_component,drug_score
RANOLAZINE,2,1,0.38097826087163256,0.19048913043581628,0.2312218007833804,0.11111111111111105,0.14253326399359584,0.317823016202742,0.19001355594626995,2,0.1111111111111111,0.09722222222222221,0.25,0.3333333333333333,0.4618256073508269,0.4267900320604706,0.5,0.09523809523809525,0.07261904761904761,0.0035132170215689427,0.3333333333333333,0.4089498132935546,0.2930952380952381,0.0035132170215689427,0.3390413004542146
THERAPEUTIC CORTICOSTEROID,2,1,0.4281305247876011,0.21406526239380055,0.3393030571873309,0.1358024691358024,0.1653891000053657,0.3410042180402336,0.1385055936534246,1,0.25,0.25,0.25,0.3333333333333333,0.5341018380952873,0.5176019213693235,0.0,0.3214285714285715,0.3214285714285715,0.0025321523883401484,0.3333333333333333,0.4723314954584407,0.16071428571428575,0.0025321523883401484,0.3378687296123171
ZONISAMIDE,3,1,0.4167352533100225,0.13891175110334084,0.2312218007833804,0.049382716049382665,0.09403292181069955,0.27331961544994027,0.7252255706666667,1,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5166348661556787,0.22812134157601438,0.0,0.4571428571428572,0.4571428571428572,0.013707322079268834,0.3333333333333333,0.4267538355506436,0.2285714285714286,0.013707322079268834,0.3337678527051733
QUERCETIN,2,1,0.3653896169765297,0.18269480848826486,0.2206464552073358,0.15432098765432095,0.0411438865526358,0.35261955125783784,0.3410724811373069,2,0.125,0.10416666666666666,0.25,0.3333333333333333,0.43793092383862947,0.39676741837642676,0.5,0.11785714285714288,0.08392857142857144,0.006390414302173963,0.3333333333333333,0.3879956874322427,0.30214285714285716,0.006390414302173963,0.3326130337832439
GB88,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
2-FUROYL-LIGRL[N-(ALEXA FLUOR 594)-O]-NH2,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AZ8838,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AZ7188,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AZ3451,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
AZ2429,1,1,0.3393030571873309,0.3393030571873309,0.3393030571873309,0.2469135802469135,0.3307782000107314,0.4402173913043478,0.9053046764774912,1,0.125,0.125,0.0,0.3333333333333333,0.3979447586353343,1.0,0.0,0.11785714285714288,0.11785714285714288,0.017137262500713263,0.3333333333333333,0.49897237931766714,0.05892857142857144,0.017137262500713263,0.3288981958044835
