drug,community,targets_in_module,module_size,module_coverage
BAZEDOXIFENE ACETATE,1,1,19,0.05263157894736842
BECAPLERMIN,1,1,19,0.05263157894736842
BENOXINATE,6,1,9,0.1111111111111111
BENOXINATE HYDROCHLORIDE,6,2,9,0.2222222222222222
"BENZO(A)PYRENE-7,8-DIOL 9,10-EPOXIDE",5,1,8,0.125
BENZOCAINE,6,1,9,0.1111111111111111
BENZONATATE,6,1,9,0.1111111111111111
BEPRIDIL,6,1,9,0.1111111111111111
BEVACIZUMAB-AWWB,1,1,19,0.05263157894736842
BGT-226,2,1,12,0.08333333333333333
BI-505,1,1,19,0.05263157894736842
BIAFINE CREAM,1,1,19,0.05263157894736842
BICIROMAB BRALLOBARBITAL,2,1,12,0.08333333333333333
BIMATOPROST,5,1,8,0.125
BIMATOPROST (FREE ACID FORM),5,1,8,0.125
BIMIRALISIB,2,1,12,0.08333333333333333
BINETRAKIN,1,1,19,0.05263157894736842
BIO1211,0,1,3,0.3333333333333333
BIS-TRIAZOLE DERIVATIVE 10,2,1,12,0.08333333333333333
BISANTRENE,3,1,9,0.1111111111111111
BISPHENOL A,1,1,19,0.05263157894736842
BITHIONOL,1,1,19,0.05263157894736842
BIVALIRUDIN,2,1,12,0.08333333333333333
BORTEZOMIB,2,2,12,0.16666666666666666
BOVINE CARTILAGE,2,1,12,0.08333333333333333
BUPARLISIB,2,1,12,0.08333333333333333
BUPARLISIB,3,1,9,0.1111111111111111
BUPIVACAINE,6,1,9,0.1111111111111111
BUPROPION HYDROCHLORIDE,5,1,8,0.125
BUTAPROST (FREE ACID FORM),5,2,8,0.25
BUTHIONINE SULFOXIMINE,5,1,8,0.125
C1 ESTERASE INHIBITOR,4,1,6,0.16666666666666666
C391,5,1,8,0.125
CA19-9 ANTIGEN,1,1,19,0.05263157894736842
CA2+,4,2,6,0.3333333333333333
CALCITONIN,3,1,9,0.1111111111111111
CAPECITABINE,1,1,19,0.05263157894736842
CAPIVASERTIB,1,1,19,0.05263157894736842
CAPLACIZUMAB-YHDP,2,1,12,0.08333333333333333
CARBACYCLIN,5,3,8,0.375
CARBAMAZEPINE,6,2,9,0.2222222222222222
CARBENOXOLONE,4,2,6,0.3333333333333333
CARBOCYCLIC THROMBOXANE A2,5,1,8,0.125
CARBOPLATIN,3,1,9,0.1111111111111111
CARBOPLATIN,6,1,9,0.1111111111111111
CASPASE INHIBITOR,3,1,9,0.1111111111111111
CATECHIN,2,1,12,0.08333333333333333
CDP-860,1,1,19,0.05263157894736842
CEDIRANIB,1,1,19,0.05263157894736842
CEFDINIR,5,1,8,0.125
CELECOXIB,3,1,9,0.1111111111111111
CENISERTIB,1,1,19,0.05263157894736842
CENOBAMATE,6,2,9,0.2222222222222222
CEP-2563,1,1,19,0.05263157894736842
CETUXIMAB,1,1,19,0.05263157894736842
CETUXIMAB,3,1,9,0.1111111111111111
CHEMBL:CHEMBL1083499,2,1,12,0.08333333333333333
CHEMBL:CHEMBL1520282,5,1,8,0.125
CHEMBL:CHEMBL2332580,1,1,19,0.05263157894736842
CHEMBL:CHEMBL527307,5,1,8,0.125
CHEMBL:CHEMBL528734,5,1,8,0.125
CHEMBL:CHEMBL546797,1,1,19,0.05263157894736842
CHEMBL:CHEMBL586628,2,1,12,0.08333333333333333
CHEMBL:CHEMBL598477,5,1,8,0.125
CHEMBL:CHEMBL600336,1,1,19,0.05263157894736842
CHEMBL:CHEMBL602561,5,1,8,0.125
CHEMBL:CHEMBL84440,5,1,8,0.125
CHF 4227,1,1,19,0.05263157894736842
CHF4227,1,1,19,0.05263157894736842
CHINESE HERBS,1,1,19,0.05263157894736842
CHLOROPROCAINE,6,2,9,0.2222222222222222
CHLOROTRIANISENE,1,1,19,0.05263157894736842
CHONDROITIN SULFATES,1,1,19,0.05263157894736842
CIMETIDINE,1,1,19,0.05263157894736842
CISAPRIDE,6,1,9,0.1111111111111111
CISPLATIN,1,1,19,0.05263157894736842
CLADRIBINE,3,1,9,0.1111111111111111
CLAZAKIZUMAB,1,1,19,0.05263157894736842
CLOMIPRAMINE,6,1,9,0.1111111111111111
CLOPROSTENOL,5,2,8,0.25
CM-082,1,1,19,0.05263157894736842
CN-105,5,1,8,0.125
"COAGULATION FACTOR IX (RECOMBINANT), GLYCOPEGYLATED",2,1,12,0.08333333333333333
COAGULATION FACTOR IX RECOMBINANT IMMUNOGLOBULIN G1 FUSION PROTEIN,2,1,12,0.08333333333333333
COBIMETINIB,3,1,9,0.1111111111111111
COCAINE,6,2,9,0.2222222222222222
COCAINE HYDROCHLORIDE,6,2,9,0.2222222222222222
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM-AAES,0,2,3,0.6666666666666666
COMPOUND 1 [PMID: 20080612],5,1,8,0.125
COMPOUND 111 [PMID: 37918435],4,1,6,0.16666666666666666
COMPOUND 11J [PMID: 23021994],2,1,12,0.08333333333333333
COMPOUND 12B [PMID: 31465220],2,1,12,0.08333333333333333
COMPOUND 14 [PMID: 34333981],1,1,19,0.05263157894736842
COMPOUND 14K [PMID: 21982499],2,2,12,0.16666666666666666
COMPOUND 15A [PMID: 32069401],2,1,12,0.08333333333333333
COMPOUND 1A [PMID: 24900749],2,1,12,0.08333333333333333
COMPOUND 2 [PMID: 22560567],2,1,12,0.08333333333333333
COMPOUND 20 [PMID: 22136433],2,2,12,0.16666666666666666
COMPOUND 21K [PMID: 34985886],2,1,12,0.08333333333333333
COMPOUND 22 [PMID: 24754609],2,1,12,0.08333333333333333
COMPOUND 25C [PMID: 36649216],2,1,12,0.08333333333333333
COMPOUND 27 [PMID: 35834807],2,1,12,0.08333333333333333
COMPOUND 28 [PMID: 30624936],2,1,12,0.08333333333333333
COMPOUND 2C [PMID: 24900538],2,1,12,0.08333333333333333
COMPOUND 2Q [PMID: 30986068],2,1,12,0.08333333333333333
COMPOUND 41 [PMID: 31855425],2,1,12,0.08333333333333333
COMPOUND 5 [PMID: 23232060],2,1,12,0.08333333333333333
COMPOUND 52 [PMID: 28541707],2,1,12,0.08333333333333333
COMPOUND 5D [PMID: 31335136],2,1,12,0.08333333333333333
COMPOUND 7 [PMID: 31955578],2,1,12,0.08333333333333333
COMPOUND 7 [PMID: 34333981],1,1,19,0.05263157894736842
COMPOUND 82 [PMID: 21332118],2,1,12,0.08333333333333333
CONATUMUMAB,6,1,9,0.1111111111111111
COPANLISIB,2,1,12,0.08333333333333333
COUMARIN,2,2,12,0.16666666666666666
CP-547632,1,1,19,0.05263157894736842
CP-601927,3,1,9,0.1111111111111111
CR 1447,1,1,19,0.05263157894736842
CRENOLANIB,1,1,19,0.05263157894736842
CX-5011,2,1,12,0.08333333333333333
CX-5279,2,1,12,0.08333333333333333
CX-6258,2,2,12,0.16666666666666666
CYANIDIN,2,1,12,0.08333333333333333
CYANIN,2,1,12,0.08333333333333333
CYCLOFENIL,1,1,19,0.05263157894736842
CYCLOPHOSPHAMIDE ANHYDROUS,1,2,19,0.10526315789473684
CYCLOSPORINE,1,1,19,0.05263157894736842
CYCLOSPORINE,3,2,9,0.2222222222222222
CYTARABINE,1,2,19,0.10526315789473684
DABIGATRAN,2,1,12,0.08333333333333333
DABIGATRAN ETEXILATE MESYLATE,2,1,12,0.08333333333333333
DABRAFENIB,3,1,9,0.1111111111111111
DACTOLISIB,2,1,12,0.08333333333333333
DALTROBAN,5,1,8,0.125
DANAZOL,2,1,12,0.08333333333333333
DANAZOL,4,1,6,0.16666666666666666
DANICAMTIV,6,1,9,0.1111111111111111
DARAPLADIB,5,1,8,0.125
DAROVASERTIB,6,1,9,0.1111111111111111
DASATINIB ANHYDROUS,1,1,19,0.05263157894736842
DAUNORUBICIN LIPOSOMAL,1,1,19,0.05263157894736842
DEFIBROTIDE,2,1,12,0.08333333333333333
DEHYDRATED ALCOHOL,1,1,19,0.05263157894736842
DEOXYCYTIDINE,3,1,9,0.1111111111111111
DEQUALINIUM,3,1,9,0.1111111111111111
DESIRUDIN,2,2,12,0.16666666666666666
DESMOTEPLASE,2,1,12,0.08333333333333333
DEXAMETHASONE,2,1,12,0.08333333333333333
DEXTRAN SULFATE,2,2,12,0.16666666666666666
DEXTRAN SULFATE SODIUM,3,1,9,0.1111111111111111
DEZAPELISIB,2,1,12,0.08333333333333333
DIARYLPROPIONITRILE,1,1,19,0.05263157894736842
DIAZIQUONE,3,1,9,0.1111111111111111
DIBUCAINE,6,2,9,0.2222222222222222
DIBUCAINE HYDROCHLORIDE,6,2,9,0.2222222222222222
DICHLOROBENZYL ALCOHOL,6,2,9,0.2222222222222222
DICUMAROL,3,1,9,0.1111111111111111
DIETHYLSTILBESTROL,1,1,19,0.05263157894736842
DIETHYLSTILBESTROL DIPHOSPHATE,1,1,19,0.05263157894736842
DIGOXIN,1,1,19,0.05263157894736842
DIHYDROSPHINGOSINE,1,1,19,0.05263157894736842
DIMETHYL SULFOXIDE,1,1,19,0.05263157894736842
DINOPROST,5,3,8,0.375
DINOPROSTONE,5,3,8,0.375
DIPHTHERIA TOXIN,1,1,19,0.05263157894736842
