gene,degree,betweenness,closeness,combined_score
EP300,0.10714285714285714,0.4512987012987013,0.36129032258064514,0.30657729367406783
HLA-A,0.3214285714285714,0.14720112528240129,0.3522012578616352,0.2736103181908693
STAT4,0.14285714285714285,0.27043676058433097,0.3835616438356164,0.26561851575903006
IL10,0.1607142857142857,0.21753660108791384,0.3783783783783784,0.25220975506019266
HLA-B,0.3214285714285714,0.03781028974708516,0.32941176470588235,0.22955020862717965
HLA-DRB1,0.30357142857142855,0.05551629266757093,0.32941176470588235,0.22949982864829396
PTPN22,0.1607142857142857,0.13439937303864513,0.345679012345679,0.21359755703286995
HLA-DQA1,0.26785714285714285,0.02050528431547338,0.32558139534883723,0.20464794084048452
PSMB9,0.17857142857142855,0.0956827082207736,0.3393939393939394,0.20454935872871385
HLA-DRA,0.26785714285714285,0.017644530040142298,0.3218390804597701,0.20244691778568505
HLA-DQB1,0.25,0.013744283966518627,0.32,0.1945814279888395
HLA-F,0.25,0.011250597750261875,0.3181818181818182,0.19314413864402669
HLA-DPA1,0.25,0.008622661104480255,0.32,0.19287422036816007
HLA-DOB,0.25,0.0093151990110106,0.3181818181818182,0.19249900573094292
IRF1,0.07142857142857142,0.133197138359476,0.35443037974683544,0.18635202984496094
HLA-DPB1,0.23214285714285712,0.0050470903555319135,0.3181818181818182,0.1851239218934024
SMAD3,0.03571428571428571,0.22272727272727272,0.2857142857142857,0.18138528138528134
HLA-DOA,0.25,0.0021736868062426865,0.28865979381443296,0.18027782687355853
HLA-DMA,0.25,0.0021736868062426865,0.28865979381443296,0.18027782687355853
IRF5,0.10714285714285714,0.0670326060756657,0.3522012578616352,0.17545890702671932
IL23R,0.125,0.0734339159217406,0.32748538011695905,0.17530643201289986
HLA-DQA2,0.23214285714285712,0.0019075344632878358,0.28717948717948716,0.17374329292854404
TAP1,0.14285714285714285,0.0466629331508418,0.32941176470588235,0.17297728023795567
APOE,0.07142857142857142,0.09769119769119766,0.3373493975903614,0.1688230555700435
HLA-G,0.17857142857142855,0.005050516359293787,0.30939226519337015,0.16433807004136416
POU5F1,0.03571428571428571,0.19480519480519481,0.23430962343096234,0.1549430346501476
ABCG2,0.08928571428571427,0.16574675324675325,0.19718309859154928,0.15073852204133895
NOD2,0.08928571428571427,0.07535579004329004,0.28717948717948716,0.15060699716949716
TAPBP,0.14285714285714285,0.005054112554112554,0.3010752688172043,0.14966217474281993
TYK2,0.10714285714285714,0.014757054950977877,0.32558139534883723,0.14916043581422408
MLXIPL,0.05357142857142857,0.10454545454545454,0.27450980392156865,0.14420889567948392
HLA-DQB2,0.14285714285714285,0.0,0.26046511627906976,0.1344407530454042
TAP2,0.08928571428571427,0.0,0.2931937172774869,0.1274931438544004
ARID1A,0.03571428571428571,0.07012987012987013,0.27184466019417475,0.12589627201277687
ERAP1,0.05357142857142857,0.015212614061075382,0.3027027027027027,0.12382891511173555
PTPN2,0.03571428571428571,0.0,0.2814070351758794,0.10570710696338836
CCR6,0.03571428571428571,0.0,0.28,0.10523809523809524
IFNAR2,0.03571428571428571,0.0,0.27860696517412936,0.10477375029613835
BTNL2,0.05357142857142857,0.0,0.25112107623318386,0.10156416826820414
PNPLA3,0.03571428571428571,0.03571428571428571,0.2178988326848249,0.09644246803779877
PBRM1,0.03571428571428571,0.03571428571428571,0.21621621621621623,0.09588159588159588
CARD9,0.03571428571428571,0.0,0.25112107623318386,0.09561178731582319
TNIP1,0.017857142857142856,0.0,0.2616822429906542,0.09317979528259901
PADI4,0.017857142857142856,0.0,0.25806451612903225,0.09197388632872504
SFMBT1,0.017857142857142856,0.0,0.2545454545454545,0.09080086580086578
LRP2,0.017857142857142856,0.0,0.25339366515837103,0.0904169360051713
FTO,0.017857142857142856,0.0,0.25339366515837103,0.0904169360051713
SLC2A9,0.08928571428571427,0.008603896103896103,0.16766467065868262,0.08851809368276432
SLC17A1,0.08928571428571427,0.008603896103896103,0.16766467065868262,0.08851809368276432
IRGM,0.03571428571428571,0.0,0.2248995983935743,0.08687129470262
ATG16L1,0.03571428571428571,0.0,0.2248995983935743,0.08687129470262
SLC22A11,0.07142857142857142,0.008441558441558441,0.16716417910447762,0.08234476965820249
SLC22A12,0.07142857142857142,0.008441558441558441,0.16716417910447762,0.08234476965820249
MLXIP,0.017857142857142856,0.0,0.21621621621621623,0.07802445302445303
SLC16A9,0.07142857142857142,0.00016233766233766234,0.14507772020725387,0.07222287643272098
GCKR,0.017857142857142856,0.0,0.1794871794871795,0.06578144078144078
ARID5B,0.017857142857142856,0.0,0.17834394904458598,0.06540036396724294
