community,num_genes,top_5_genes
1,14,"HLA-DRB1, PTPN22, HLA-DQA1, HLA-DRA, HLA-DQB1"
0,13,"EP300, SMAD3, APOE, POU5F1, MLXIPL"
4,13,"STAT4, IL10, IRF5, IL23R, NOD2"
2,11,"HLA-A, HLA-B, PSMB9, HLA-F, IRF1"
3,6,"ABCG2, SLC17A1, SLC2A9, SLC22A12, SLC22A11"
